Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index,Notes
7,99,Yes,9,1,91,excellent
4,82,No,4,2,65,review
8,51,Yes,7,2,45,review
5,52,Yes,5,2,36,excellent
7,75,No,8,5,66,review
3,78,No,9,6,61,excellent
,73,Yes,,6,63,excellent
8,45,Yes,4,6,42,review
5,77,No,8,2,61,excellent
4,89,No,4,0,69,review
,91,No,4,5,84,review
8,79,No,6,2,73,review
3,47,No,9,2,27,review
6,47,No,4,2,33,review
5,79,No,7,8,68,review
2,72,No,,3,43,excellent
8,73,Yes,,4,67,excellent
6,83,Yes,7,2,70,excellent
2,54,Yes,4,9,30,excellent
5,75,No,7,0,63,review
1,99,Yes,4,3,71,review
6,96,No,,0,85,review
9,74,Yes,7,6,73,review
1,85,No,,6,57,excellent
3,61,No,6,3,35,excellent
7,62,Yes,7,4,49,review
4,79,No,8,9,66,review
9,84,Yes,6,6,83,review
3,94,Yes,6,5,74,review
,90,Yes,4,3,74,review
3,61,Yes,,3,39,excellent
7,44,Yes,9,1,36,review
,70,Yes,6,9,58,excellent
9,52,Yes,8,1,47,review
7,67,Yes,9,3,60,review
2,97,Yes,9,4,74,excellent
4,59,No,8,3,42,excellent
,72,No,8,2,68,review
2,55,Yes,4,1,32,excellent
9,68,No,5,3,64,review
5,62,No,7,4,45,review
2,63,Yes,6,0,39,excellent
,73,Yes,7,0,58,excellent
7,46,No,9,5,36,review
8,77,Yes,6,4,71,review
3,76,Yes,4,3,54,excellent
1,43,Yes,7,0,17,review
4,73,No,,6,54,review
2,81,Yes,4,3,58,excellent
8,61,No,7,2,53,excellent
4,44,Yes,7,6,27,review
2,89,Yes,6,1,65,excellent
6,81,No,9,9,75,excellent
6,62,Yes,9,0,52,review
4,93,No,8,3,78,excellent
6,99,No,4,7,91,excellent
,54,Yes,9,5,33,review
2,70,Yes,5,8,47,review
,98,No,6,0,78,excellent
8,48,No,6,0,38,excellent
7,82,Yes,8,4,70,review
9,97,Yes,,5,98,excellent
8,92,Yes,4,7,87,excellent
5,64,Yes,6,2,49,excellent
2,64,Yes,6,5,41,excellent
5,88,No,5,2,71,review
8,60,No,4,7,54,review
9,48,No,4,3,42,excellent
,94,No,9,1,91,review
1,87,Yes,8,8,61,excellent
9,77,No,9,9,74,review
7,61,Yes,4,7,54,review
,82,Yes,5,5,81,review
8,62,Yes,4,2,52,excellent
1,88,Yes,9,1,65,excellent
8,43,Yes,7,3,36,review
8,68,No,7,3,61,review
,54,Yes,5,0,35,review
1,40,Yes,8,8,15,excellent
8,93,Yes,6,9,88,review
3,69,No,4,7,45,excellent
3,68,Yes,9,6,49,excellent
1,59,Yes,8,5,33,review
,72,Yes,9,2,60,excellent
7,80,No,,3,71,review
9,83,Yes,4,1,81,excellent
7,75,No,6,6,67,review
9,99,No,4,1,95,review
8,61,Yes,6,9,58,excellent
2,52,No,9,0,29,review
1,46,No,5,5,21,excellent
7,47,Yes,6,3,38,excellent
7,67,Yes,8,7,60,excellent
8,84,Yes,5,0,76,review
5,82,Yes,9,8,69,excellent
3,48,No,7,5,30,excellent
8,64,No,5,1,57,review
6,95,Yes,6,7,81,excellent
,55,Yes,5,4,36,excellent
1,49,Yes,9,4,25,review
,50,No,5,4,27,excellent
5,70,Yes,9,6,61,review
3,51,No,7,6,34,review
1,99,No,6,9,76,review
5,70,No,8,6,57,excellent
7,53,No,5,9,45,review
7,90,Yes,4,1,76,excellent
9,83,Yes,8,7,83,excellent
3,71,Yes,5,0,50,excellent
,89,No,8,1,81,review
1,92,No,4,6,66,excellent
4,56,Yes,,3,38,excellent
4,74,No,8,9,56,review
5,40,No,4,9,25,excellent
7,68,No,4,8,56,excellent
7,90,Yes,4,8,82,excellent
4,43,Yes,7,2,23,review
7,62,Yes,9,2,56,review
3,67,No,9,8,46,review
6,55,Yes,4,9,43,review
2,51,Yes,,7,30,excellent
9,92,Yes,8,0,92,excellent
5,60,No,4,5,45,excellent
6,84,No,5,6,70,excellent
4,56,No,4,7,36,excellent
7,79,No,4,1,71,review
9,52,No,9,0,49,excellent
7,91,Yes,6,3,82,review
,97,Yes,8,0,71,review
1,71,No,9,1,43,excellent
9,76,No,8,2,77,review
9,89,Yes,5,3,86,review
4,54,No,7,5,34,excellent
9,51,No,6,7,49,review
3,88,No,,8,69,review
7,96,No,,3,84,review
6,54,No,8,0,41,review
8,73,Yes,6,4,68,review
9,45,Yes,8,4,44,excellent
5,56,No,7,8,41,review
1,87,No,,5,58,excellent
3,88,Yes,4,4,68,review
8,96,No,8,9,94,review
6,59,Yes,4,9,47,excellent
8,48,No,5,4,40,excellent
,98,Yes,7,7,100,excellent
4,44,Yes,9,0,23,excellent
1,62,No,4,4,36,review
,72,No,7,0,47,review
4,77,Yes,8,6,60,excellent
7,95,No,9,6,83,review
2,53,Yes,8,9,33,review
3,56,No,5,7,36,review
1,96,No,8,6,74,excellent
5,58,No,4,8,42,review
1,72,Yes,5,7,47,review
8,40,Yes,7,7,31,review
1,52,No,5,2,26,excellent
1,85,Yes,7,9,58,review
2,66,No,6,3,42,review
2,45,Yes,4,3,18,excellent
6,98,No,4,0,85,excellent
7,45,Yes,7,5,36,excellent
5,72,Yes,8,1,58,excellent
,69,Yes,9,8,45,review
1,85,Yes,8,0,60,review
3,74,Yes,6,0,56,review
2,62,Yes,7,9,42,excellent
,49,No,6,5,33,review
6,90,No,7,0,77,excellent
7,58,Yes,6,2,51,excellent
,90,No,7,9,72,review
7,67,Yes,4,1,57,review
8,62,No,6,8,53,review
1,43,No,6,4,16,review
6,59,No,7,5,45,review
8,58,No,5,1,49,excellent
5,81,Yes,5,7,67,review
4,66,No,4,5,49,review
2,96,No,8,7,73,review
6,73,No,8,7,65,excellent
6,43,Yes,4,0,27,excellent
1,95,No,8,6,72,excellent
9,77,Yes,9,1,74,excellent
6,46,Yes,9,7,38,review
3,87,No,9,1,67,review
4,46,Yes,9,3,28,review
4,89,No,7,1,73,review
3,91,No,5,6,72,excellent
3,65,No,4,4,42,review
,65,No,7,8,47,review
4,93,No,9,4,77,excellent
7,58,No,,7,49,excellent
4,48,No,5,1,30,excellent
9,59,Yes,8,2,54,review
1,81,Yes,7,5,56,excellent
8,84,No,5,6,75,excellent
7,89,No,4,9,78,review
2,55,Yes,6,7,32,excellent
8,93,No,7,2,89,excellent
1,56,Yes,4,6,29,review
,61,Yes,4,7,57,review
9,52,No,5,9,48,review
2,51,No,4,5,27,review
7,49,Yes,7,3,38,excellent
,40,Yes,9,5,18,review
7,71,No,7,8,66,excellent
9,69,No,4,2,65,excellent
,47,Yes,,1,27,excellent
1,60,Yes,7,4,33,review
2,61,Yes,6,6,37,review
1,57,No,9,2,29,review
5,41,No,8,4,26,review
5,87,No,5,3,72,review
7,83,Yes,5,6,77,excellent
9,48,Yes,8,1,45,review
9,42,No,8,6,41,excellent
3,93,Yes,7,1,73,review
3,65,Yes,4,2,43,excellent
3,60,Yes,4,4,39,excellent
4,69,Yes,6,6,54,review
8,67,Yes,9,5,62,excellent
,75,No,4,6,63,excellent
8,65,No,6,5,59,excellent
1,73,No,,0,46,excellent
8,47,No,5,4,42,review
4,49,No,5,0,30,review
1,87,Yes,9,6,63,review
8,94,Yes,7,3,89,excellent
4,82,Yes,8,4,62,excellent
6,89,No,8,0,77,excellent
8,93,Yes,9,7,88,review
4,53,Yes,6,3,35,excellent
3,79,Yes,9,2,60,excellent
9,94,No,8,0,92,review
3,54,Yes,6,3,38,review
9,56,Yes,8,2,56,review
,92,No,7,7,70,excellent
2,57,No,5,8,35,excellent
2,71,Yes,5,4,47,review
6,77,No,6,8,66,review
3,62,Yes,9,0,43,excellent
9,85,No,8,6,81,excellent
4,62,Yes,4,6,43,excellent
,74,Yes,7,5,46,excellent
4,78,No,8,3,61,review
1,54,No,4,8,27,excellent
5,92,No,7,2,77,review
4,63,No,7,0,43,excellent
8,67,Yes,,1,60,review
8,55,No,6,2,48,excellent
7,55,Yes,8,1,47,review
3,79,Yes,,5,60,excellent
1,78,Yes,8,6,53,review
1,45,No,7,4,19,review
3,41,Yes,,4,23,excellent
6,93,Yes,5,6,81,review
7,52,No,6,5,41,excellent
6,83,Yes,4,7,71,excellent
,86,Yes,4,8,75,excellent
6,98,Yes,9,1,89,excellent
3,48,No,5,1,28,excellent
6,73,Yes,7,0,60,excellent
8,56,Yes,5,6,54,excellent
2,66,Yes,6,3,41,review
5,68,No,,8,52,review
1,76,No,8,5,53,excellent
1,82,No,4,6,52,review
5,61,Yes,6,6,47,review
3,90,Yes,7,7,71,review
4,63,Yes,5,3,42,review
3,46,Yes,4,2,21,excellent
1,73,Yes,4,2,48,excellent
1,87,No,8,9,64,excellent
5,51,Yes,5,7,38,excellent
6,62,Yes,8,2,49,review
3,54,No,8,7,35,review
9,72,No,7,1,73,review
5,96,Yes,4,4,81,excellent
8,52,No,9,4,47,review
1,62,No,5,6,36,review
5,77,No,7,4,63,excellent
3,71,Yes,9,8,52,excellent
,84,No,7,2,58,review
4,89,Yes,7,8,77,review
,74,No,6,0,58,excellent
7,40,Yes,6,2,33,excellent
1,86,Yes,7,3,67,review
3,97,Yes,6,5,76,review
2,84,No,5,9,62,excellent
,44,No,4,7,37,excellent
,96,No,,6,86,excellent
3,52,Yes,5,7,37,excellent
8,93,No,4,5,88,excellent
8,44,No,6,5,38,review
2,99,Yes,9,5,76,review
6,71,No,5,2,57,excellent
7,90,Yes,8,9,82,excellent
2,60,No,,3,35,excellent
,63,Yes,4,5,41,review
,99,Yes,4,6,75,excellent
8,57,No,8,2,51,review
